Date,y,,
2022-04-11,217424508.9,,
2022-04-12,198950531.1,,
2022-04-13,194492275.6,,
2022-04-14,221692722.8,,
2022-04-15,188017878.9,,
2022-04-16,231514552.3,,
2022-04-17,188017878.9,,
2022-04-18,173986693.9,,
2022-04-19,224498959.8,,
2022-04-20,237127026.3,,
2022-04-21,189420997.4,,
2022-04-22,228708315.3,,
2022-04-23,239933263.3,,
2022-04-24,227305196.8,,
2022-04-25,196436589.9,,
2022-04-26,243130347.4,,
2022-04-27,195503620.6,,
2022-04-28,222163205.2,,
2022-04-29,222163205.2,,
2022-04-30,247341701.8,,
2022-05-01,236974085.6,,
2022-05-02,222163205.2,,
2022-05-03,216238853.1,,
2022-05-04,232530821.5,,
2022-05-05,210314500.9,,
2022-05-06,211795589,,
2022-05-07,229568645.4,,
2022-05-08,229568645.4,,
2022-05-09,226823707.2,,
2022-05-10,225257597.9,,
2022-05-11,209722591.1,,
2022-05-12,236132102.6,,
2022-05-13,219043595.2,,
2022-05-14,189527082.4,,
2022-05-15,254774110.7,,
2022-05-16,228364599.2,,
2022-05-17,208169090.5,,
2022-05-18,189527082.4,,
2022-05-19,198848086.4,,
2022-05-20,209722591.1,,
2022-05-21,189527082.4,,
2022-05-22,248560108,,
2022-05-23,186420081,,
2022-05-24,219801139.3,,
2022-05-25,209555369.9,,
2022-05-26,205096745,,
2022-05-27,219958827.9,,
2022-05-28,221445036.2,,
2022-05-29,228876077.7,,
2022-05-30,216986411.3,,
2022-05-31,202124328.4,,
2022-06-01,185776037.1,,
2022-06-02,212527786.5,,
2022-06-03,206582953.3,,
2022-06-04,216986411.3,,
2022-06-05,222931244.5,,
2022-06-06,240765744.1,,
2022-06-07,266405768.7,,
2022-06-08,219787040.4,,
2022-06-09,221292431.1,,
2022-06-10,231830165.9,,
2022-06-11,191184617.3,,
2022-06-12,200216961.4,,
2022-06-13,219787040.4,,
2022-06-14,248389463.4,,
2022-06-15,179141491.8,,
2022-06-16,162582194.3,,
2022-06-17,234840947.3,,
2022-06-18,200216961.4,,
2022-06-19,198711570.8,,
2022-06-20,225808603.1,,
2022-06-21,193273708.3,,
2022-06-22,223431040.5,,
2022-06-23,189622396.2,,
2022-06-24,221961099.4,,
2022-06-25,202851865.7,,
2022-06-26,199911983.6,,
2022-06-27,214611394.2,,
2022-06-28,221961099.4,,
2022-06-29,251359920.6,,
2022-06-30,196972101.5,,
2022-07-01,202851865.7,,
2022-07-02,227840863.7,,
2022-07-03,210201571,,
2022-07-04,173453044.6,,
2022-07-05,186682514.1,,
2022-07-06,227544125.4,,
2022-07-07,214480636.4,,
2022-07-08,194191927.6,,
2022-07-09,221726603.9,,
2022-07-10,178250799.2,,
2022-07-11,218828216.9,,
2022-07-12,159411283.8,,
2022-07-13,179699992.7,,
2022-07-14,205785475.5,,
2022-07-15,214480636.4,,
2022-07-16,179699992.7,,
2022-07-17,189844347.1,,
2022-07-18,199988701.5,,
2022-07-19,182598379.6,,
2022-07-20,199187652.5,,
2022-07-21,181711862.6,,
2022-07-22,211997173.1,,
2022-07-23,216126988.1,,
2022-07-24,195477912.8,,
2022-07-25,220256803.2,,
2022-07-26,227139828.3,,
2022-07-27,194101307.8,,
2022-07-28,200984332.9,,
2022-07-29,177582047.6,,
2022-07-30,209243963,,
2022-07-31,187218282.7,,
2022-08-01,213373778.1,,
2022-08-02,199607727.9,,
2022-08-03,183173748.8,,
2022-08-04,210085555,,
2022-08-05,225491829.1,,
2022-08-06,222690688.3,,
2022-08-07,201682132.8,,
2022-08-08,200281562.5,,
2022-08-09,207284414.3,,
2022-08-10,196079851.4,,
2022-08-11,215687836.5,,
2022-08-12,194679281,,
2022-08-13,186275858.8,,
2022-08-14,203082703.2,,
2022-08-15,207284414.3,,
2022-08-16,180673577.3,,
2022-08-17,202403376,,
2022-08-18,250867150.8,,
2022-08-19,209995536.3,,
2022-08-20,205767438.3,,
2022-08-21,204358072.3,,
2022-08-22,242410954.7,,
2022-08-23,205767438.3,,
2022-08-24,224089196.5,,
2022-08-25,248048418.8,,
2022-08-26,204358072.3,,
2022-08-27,226907928.5,,
2022-08-28,221270464.5,,
2022-08-29,228317294.5,,
2022-08-30,219862688.9,,
2022-08-31,212503108.2,,
2022-09-01,198644209.8,,
2022-09-02,226362006.5,,
2022-09-03,258699436,,
2022-09-04,235601272.1,,
2022-09-05,218662618.5,,
2022-09-06,224822128.9,,
2022-09-07,195564454.6,,
2022-09-08,226362006.5,,
2022-09-09,241760782.5,,
2022-09-10,281797599.9,,
2022-09-11,235601272.1,,
2022-09-12,211972242.1,,
2022-09-13,202308900,,
2022-09-14,234168569.3,,
2022-09-15,203901883.4,,
2022-09-16,270807188.9,,
2022-09-17,245319453.5,,
2022-09-18,207087850.4,,
2022-09-19,242133486.6,,
2022-09-20,224610668.5,,
2022-09-21,203901883.4,,
2022-09-22,215052767.7,,
2022-09-23,232575585.8,,
2022-09-24,234168569.3,,
2022-09-25,238947519.7,,
2022-09-26,205494866.9,,
2022-09-27,234283743.9,,
2022-09-28,222928606.7,,
2022-09-29,263461080.6,,
2022-09-30,282168376.3,,
2022-10-01,244753785,,
2022-10-02,240076961,,
2022-10-03,254107432.8,,
2022-10-04,272814728.4,,
2022-10-05,247871667.6,,
2022-10-06,266578963.2,,
2022-10-07,272814728.4,,
2022-10-08,246312726.3,,
2022-10-09,281762541.5,,
2022-10-10,277924882.2,,
2022-10-11,242520438.6,,
